id,time_step,right_elbow_x,right_elbow_y,right_elbow_z,right_hand_x,right_hand_y,right_hand_z
1,0.1,2.1526764148,-0.0116502654,-0.5703090547,2.1194098357,-0.1604352844,-0.845896701
1,0.2,2.1526764148,-0.0116502654,-0.5703090547,2.1194098357,-0.1604352844,-0.845896701
1,0.3,2.1526764148,-0.0116502654,-0.5703090547,2.1194098357,-0.1604352844,-0.845896701
1,0.4,2.1526764148,-0.0116502654,-0.5703090547,2.1194098357,-0.1604352844,-0.845896701
1,0.5,2.1526764148,-0.0116502654,-0.5703090547,2.1194098357,-0.1604352844,-0.845896701
1,0.6,2.1526764148,-0.0116502654,-0.5703090547,2.1194098357,-0.1604352844,-0.845896701
1,0.7,2.1526764148,-0.0116502654,-0.5703090547,2.1194098357,-0.1604352844,-0.845896701
1,0.8,2.1511642297,-0.0111958642,-0.5638605628,2.1244218163,-0.1596750579,-0.8403281159
1,0.9,2.1555186884,-0.0170107477,-0.5788074172,2.1201161116,-0.1636012975,-0.8553010616
1,1,2.1534154334,-0.0176748942,-0.5749850828,2.1254935738,-0.1655812124,-0.8516208445
1,1.1,2.1507538638,-0.0102557298,-0.5535556907,2.1271774262,-0.1517703389,-0.833871461
1,1.2,2.1511014675,-0.0022190883,-0.559821378,2.1248408425,-0.167109703,-0.8257413255
1,1.3,2.1326126848,-0.0008509464,-0.5620427456,2.1047245896,-0.1613772024,-0.8314330851
1,1.4,2.1079208331,0.0059937658,-0.5435324621,2.0477749893,-0.1725087897,-0.7470369408
1,1.5,2.0262406264,-0.0589612843,-0.5836511196,1.9551138958,-0.3242691551,-0.6887008461
1,1.6,1.967202389,-0.1112260962,-0.5774583368,1.8724953394,-0.391984455,-0.6638306696
1,1.7,1.9277594949,-0.1606022787,-0.56663379,1.8071131452,-0.428310928,-0.664748154
1,1.8,1.9248702075,-0.1851549321,-0.5593718165,1.7696172156,-0.4226254884,-0.6808392638
1,1.9,1.9175763014,-0.2034253141,-0.5669532717,1.7527312545,-0.4234129344,-0.7080002736
1,2,1.9055051119,-0.2215935561,-0.5912706712,1.7371941377,-0.4281489534,-0.7479988127
1,2.1,1.8921837898,-0.2290464096,-0.6077116013,1.7250482843,-0.442372112,-0.7565947154
1,2.2,1.8854877514,-0.2304262407,-0.6073064863,1.7193356831,-0.4484559038,-0.7503575728
1,2.3,1.8860108382,-0.2268696592,-0.5995378115,1.7189633444,-0.4528170502,-0.7280752838
1,2.4,1.8860108382,-0.2268696592,-0.5995378115,1.7189633444,-0.4528170502,-0.7280752838
1,2.5,1.8860108382,-0.2268696592,-0.5995378115,1.7189633444,-0.4528170502,-0.7280752838
1,2.6,1.8860108382,-0.2268696592,-0.5995378115,1.7189633444,-0.4528170502,-0.7280752838
1,2.7,1.8860108382,-0.2268696592,-0.5995378115,1.7189633444,-0.4528170502,-0.7280752838
1,2.8,1.8860108382,-0.2268696592,-0.5995378115,1.7189633444,-0.4528170502,-0.7280752838
1,2.9,1.8860108382,-0.2268696592,-0.5995378115,1.7189633444,-0.4528170502,-0.7280752838
1,3,1.8860108382,-0.2268696592,-0.5995378115,1.7189633444,-0.4528170502,-0.7280752838
2,0.1,2.253625636,0.1138063661,-0.5106430437,2.1852575905,0.1071858071,-0.8173125923
2,0.2,2.253625636,0.1138063661,-0.5106430437,2.1852575905,0.1071858071,-0.8173125923
2,0.3,2.253625636,0.1138063661,-0.5106430437,2.1852575905,0.1071858071,-0.8173125923
2,0.4,2.253625636,0.1138063661,-0.5106430437,2.1852575905,0.1071858071,-0.8173125923
2,0.5,2.253625636,0.1138063661,-0.5106430437,2.1852575905,0.1071858071,-0.8173125923
2,0.6,2.253625636,0.1138063661,-0.5106430437,2.1852575905,0.1071858071,-0.8173125923
2,0.7,2.2538725003,0.1101244822,-0.5039315577,2.1922107228,0.1104327045,-0.8120675617
2,0.8,2.2610368626,0.1020100142,-0.4969068343,2.1984551402,0.1088371235,-0.8047978703
2,0.9,2.2687060472,0.0917137472,-0.5085142538,2.2113835423,0.114631864,-0.8166154227
2,1,2.2735156378,0.0827585266,-0.5119410598,2.2048230802,0.0898274957,-0.8183247492
2,1.1,2.2839619524,0.078560132,-0.5091928682,2.2039027592,0.0709851843,-0.812896218
2,1.2,2.2850249882,0.0624547206,-0.5123670359,2.1994333078,0.0607408785,-0.8147038798
2,1.3,2.2812523018,0.0583300195,-0.5114071222,2.1786795016,0.0404576564,-0.8077439647
2,1.4,2.2617284222,0.0510407175,-0.5061387094,2.1381003752,-0.0011109818,-0.7896133224
2,1.5,2.2153312589,0.0281317717,-0.5144601027,2.0623819769,-0.0745425419,-0.7672988964
2,1.6,2.1479460549,0.002652238,-0.526372758,1.9753177311,-0.1597038038,-0.7295530321
2,1.7,2.0729774735,-0.0443451802,-0.5274636081,1.8955149523,-0.2431360885,-0.6921425217
2,1.8,1.98670819,-0.108306385,-0.5239725076,1.8156915955,-0.3255241839,-0.6727985395
2,1.9,1.9096683875,-0.1774514968,-0.5287204545,1.7481042836,-0.3963342161,-0.68574397
2,2,1.860986349,-0.2389403993,-0.5323500975,1.6973109011,-0.4402046724,-0.7093446745
2,2.1,1.8284919777,-0.2815706151,-0.5380964381,1.6678834897,-0.4769117812,-0.7245945054
2,2.2,1.8042541347,-0.3130468699,-0.549955541,1.6462186945,-0.4996006426,-0.747336064
2,2.3,1.7940976564,-0.3224074114,-0.5549902937,1.6428623692,-0.5091796344,-0.757484245
2,2.4,1.7928759616,-0.3158064942,-0.5525153747,1.6406336658,-0.5119657754,-0.7449134361
2,2.5,1.7928759616,-0.3158064942,-0.5525153747,1.6406336658,-0.5119657754,-0.7449134361
2,2.6,1.7928759616,-0.3158064942,-0.5525153747,1.6406336658,-0.5119657754,-0.7449134361
2,2.7,1.7928759616,-0.3158064942,-0.5525153747,1.6406336658,-0.5119657754,-0.7449134361
2,2.8,1.7928759616,-0.3158064942,-0.5525153747,1.6406336658,-0.5119657754,-0.7449134361
2,2.9,1.7928759616,-0.3158064942,-0.5525153747,1.6406336658,-0.5119657754,-0.7449134361
2,3,1.7928759616,-0.3158064942,-0.5525153747,1.6406336658,-0.5119657754,-0.7449134361
3,0.1,2.3575078878,0.1386877978,-0.5719389575,2.357506836,0.1386926806,-0.8582841723
3,0.2,2.3575078878,0.1386877978,-0.5719389575,2.357506836,0.1386926806,-0.8582841723
3,0.3,2.3575078878,0.1386877978,-0.5719389575,2.357506836,0.1386926806,-0.8582841723
3,0.4,2.3575078878,0.1386877978,-0.5719389575,2.357506836,0.1386926806,-0.8582841723
3,0.5,2.3513838656,0.1378224646,-0.5724825141,2.3513828137,0.1378273474,-0.8588277289
3,0.6,2.3493745706,0.1389458093,-0.5761429071,2.3493735188,0.1389506921,-0.8624881219
3,0.7,2.3467698274,0.1365225209,-0.5804374532,2.3467687756,0.1365274037,-0.866782668
3,0.8,2.3365796764,0.1199769894,-0.5875798718,2.3365786246,0.1199818722,-0.8739250866
3,0.9,2.3366360654,0.1203801268,-0.5892303847,2.3366350135,0.1203850096,-0.8755755995
3,1,2.3161878262,0.1108457423,-0.5979308711,2.3161867744,0.1108506251,-0.884276086
3,1.1,2.294022993,0.1172140462,-0.601986942,2.1901603467,0.0313810002,-0.8472927129
3,1.2,2.2176245839,0.1085401282,-0.6029471106,2.0458472739,-0.1034300462,-0.7060206984
3,1.3,2.0897524776,0.0466057214,-0.5417288065,1.9551114486,-0.2103542992,-0.5098786415
3,1.4,2.0157012442,-0.0142304308,-0.493044605,1.8923189215,-0.2751537852,-0.4544474416
3,1.5,1.9559546409,-0.0746954521,-0.4595923287,1.823477913,-0.3379848791,-0.4355867456
3,1.6,1.9200647378,-0.1180613829,-0.4393699373,1.7777822852,-0.3878255011,-0.4383359674
3,1.7,1.8955613721,-0.161296443,-0.4351365404,1.7550120225,-0.4378892444,-0.4549030835
3,1.8,1.8916783704,-0.1806188907,-0.4395067959,1.7433466248,-0.4611025441,-0.4760594127
3,1.9,1.8982992968,-0.1736134953,-0.4448114772,1.741422364,-0.4452754638,-0.4783260987
3,2,1.8910541779,-0.1813737606,-0.4530477482,1.7372637917,-0.4540891692,-0.4879539216
3,2.1,1.8904508889,-0.1806883685,-0.4571373151,1.7348084382,-0.4519812986,-0.4943381899
3,2.2,1.891624935,-0.1747847082,-0.4583550623,1.732976377,-0.4444183476,-0.4949277828
3,2.3,1.8902169491,-0.1658738857,-0.4567548069,1.7365239743,-0.4385499874,-0.4918235173
3,2.4,1.8889703612,-0.1641261791,-0.4566223561,1.7343957794,-0.4358676526,-0.4948624499
3,2.5,1.8902955424,-0.1606597893,-0.4569806983,1.7334118652,-0.4307783008,-0.4972614941
3,2.6,1.8905049924,-0.158600203,-0.4611025863,1.7345770124,-0.4295205756,-0.4997898187
3,2.7,1.8905049924,-0.158600203,-0.4611025863,1.7345770124,-0.4295205756,-0.4997898187
3,2.8,1.8905049924,-0.158600203,-0.4611025863,1.7345770124,-0.4295205756,-0.4997898187
3,2.9,1.8905049924,-0.158600203,-0.4611025863,1.7345770124,-0.4295205756,-0.4997898187
3,3,1.8905049924,-0.158600203,-0.4611025863,1.7345770124,-0.4295205756,-0.4997898187
4,0.1,2.2340473324,0.1412903259,-0.5982412383,2.2340462806,0.1412952087,-0.8845864532
4,0.2,2.2340473324,0.1412903259,-0.5982412383,2.2340462806,0.1412952087,-0.8845864532
4,0.3,2.2340473324,0.1412903259,-0.5982412383,2.2340462806,0.1412952087,-0.8845864532
4,0.4,2.2340473324,0.1412903259,-0.5982412383,2.2340462806,0.1412952087,-0.8845864532
4,0.5,2.2340473324,0.1412903259,-0.5982412383,2.2340462806,0.1412952087,-0.8845864532
4,0.6,2.2340473324,0.1412903259,-0.5982412383,2.2340462806,0.1412952087,-0.8845864532
4,0.7,2.2302197149,0.1365182018,-0.5977769909,2.2302186631,0.1365230846,-0.8841222057
4,0.8,2.2306391572,0.1366602017,-0.595265762,2.2306381054,0.1366650845,-0.8816109768
4,0.9,2.2299865633,0.1359994479,-0.5975665408,2.2299855115,0.1360043307,-0.8839117557
4,1,2.2311203565,0.1367912459,-0.5956560225,2.2311193047,0.1367961287,-0.8820012374
4,1.1,2.234222874,0.1418568396,-0.5964502234,2.2342218222,0.1418617224,-0.8827954382
4,1.2,2.2350136566,0.1420001378,-0.5932842106,2.2350126048,0.1420050206,-0.8796294255
4,1.3,2.2299047721,0.1393173187,-0.5953523071,2.2299037203,0.1393222015,-0.881697522
4,1.4,2.2152834929,0.1321692242,-0.5865336499,2.2152824411,0.132174107,-0.8728788647
4,1.5,2.1643319452,0.1361062166,-0.6184409334,2.0559347413,0.0533268573,-0.8306365802
4,1.6,2.0931758345,0.1219777967,-0.5946530744,1.9361163215,-0.0424248646,-0.7434516308
4,1.7,1.9367500414,0.0017774693,-0.5186938817,1.8313714617,-0.2705049002,-0.502668226
4,1.8,1.8949617213,-0.0678411229,-0.4858996303,1.7749377922,-0.3521928821,-0.4720439343
4,1.9,1.8706764416,-0.115908366,-0.467858678,1.7350987903,-0.4001978503,-0.490257472
4,2,1.867003672,-0.1382078028,-0.4678522253,1.7177296192,-0.4122728958,-0.5106405259
4,2.1,1.8662307385,-0.1440456352,-0.4694167672,1.7118641202,-0.4142085862,-0.5181463027
4,2.2,1.8618286532,-0.1482674379,-0.4697368804,1.7148665546,-0.4209171629,-0.5267604494
4,2.3,1.8609712331,-0.1484089358,-0.4694034117,1.7162491185,-0.421776899,-0.5288250297
4,2.4,1.8602906919,-0.1486119259,-0.4693702976,1.7154226988,-0.4216924294,-0.5297481834
4,2.5,1.8589382769,-0.1490893021,-0.4693219528,1.7165898146,-0.4232369807,-0.5308716618
4,2.6,1.8589382769,-0.1490893021,-0.4693219528,1.7165898146,-0.4232369807,-0.5308716618
4,2.7,1.8589382769,-0.1490893021,-0.4693219528,1.7165898146,-0.4232369807,-0.5308716618
4,2.8,1.8589382769,-0.1490893021,-0.4693219528,1.7165898146,-0.4232369807,-0.5308716618
4,2.9,1.8589382769,-0.1490893021,-0.4693219528,1.7165898146,-0.4232369807,-0.5308716618
4,3,1.8589382769,-0.1490893021,-0.4693219528,1.7165898146,-0.4232369807,-0.5308716618
5,0.1,2.3195482438,0.2269752865,-0.5302942868,2.3205338049,0.2257349795,-0.8068205966
5,0.2,2.3195482438,0.2269752865,-0.5302942868,2.3205338049,0.2257349795,-0.8068205966
5,0.3,2.3195482438,0.2269752865,-0.5302942868,2.3205338049,0.2257349795,-0.8068205966
5,0.4,2.3195482438,0.2269752865,-0.5302942868,2.3205338049,0.2257349795,-0.8068205966
5,0.5,2.3203812496,0.2221463406,-0.5356638577,2.3196248516,0.2251745666,-0.8122109741
5,0.6,2.3195805087,0.2204890196,-0.5263624021,2.3178563423,0.2221123042,-0.8029239803
5,0.7,2.317486762,0.2173433362,-0.528589018,2.3182381849,0.2181454325,-0.8050777903
5,0.8,2.3153795799,0.2209499722,-0.526185751,2.3159962594,0.2156896595,-0.8026616443
5,0.9,2.3158305292,0.2121363599,-0.5291136091,2.3123644152,0.2150203804,-0.8055995583
5,1,2.3151584374,0.2092951251,-0.5245237628,2.3061539979,0.2109947076,-0.8009109368
5,1.1,2.3125896449,0.2017699082,-0.5170204575,2.3036437815,0.2083540428,-0.7933572777
5,1.2,2.312305465,0.1969923498,-0.5218711645,2.2789324768,0.1741846405,-0.7945450531
5,1.3,2.3040486917,0.1672273964,-0.5345681556,2.2077556462,0.0810293345,-0.7745962443
5,1.4,2.2645196338,0.0954114629,-0.5413342458,2.1156627326,-0.0399577668,-0.7343399246
5,1.5,2.2056283996,0.038093242,-0.5650969079,2.0450993749,-0.1354919997,-0.7310579881
5,1.6,2.1547754513,-0.0409112974,-0.5561257128,1.9829086732,-0.2464119363,-0.6833926596
5,1.7,2.1575851827,-0.0518347643,-0.5231942046,1.9855624623,-0.2403814701,-0.6494402768
5,1.8,2.1332643587,-0.0826140894,-0.4938171926,1.9567387392,-0.2509612878,-0.6247760474
5,1.9,2.0580093669,-0.1415924161,-0.5160156161,1.8878051179,-0.3245798882,-0.6394357673
5,2,2.0163195127,-0.1723856448,-0.5230764982,1.8546033261,-0.346768151,-0.6642470467
5,2.1,1.9750816148,-0.2012631309,-0.5472872231,1.8120445044,-0.374774655,-0.6878343538
5,2.2,1.9382768041,-0.2254785676,-0.5717927032,1.7807420567,-0.4069982502,-0.7084817608
5,2.3,1.9193829762,-0.230402282,-0.5846354683,1.7646899832,-0.4082698851,-0.7292242555
5,2.4,1.9023719716,-0.2396616066,-0.5988694756,1.7515992326,-0.4151433463,-0.7503402353
5,2.5,1.8977276785,-0.2417947566,-0.6026410039,1.7525422587,-0.4246249712,-0.7508594648
5,2.6,1.9038011435,-0.2354298508,-0.6020801132,1.7579582079,-0.4123580446,-0.7566814451
5,2.7,1.9038011435,-0.2354298508,-0.6020801132,1.7579582079,-0.4123580446,-0.7566814451
5,2.8,1.9038011435,-0.2354298508,-0.6020801132,1.7579582079,-0.4123580446,-0.7566814451
5,2.9,1.9038011435,-0.2354298508,-0.6020801132,1.7579582079,-0.4123580446,-0.7566814451
5,3,1.9038011435,-0.2354298508,-0.6020801132,1.7579582079,-0.4123580446,-0.7566814451
6,0.1,2.4098754942,0.1300998096,-0.5329528217,2.4098355082,0.1300861681,-0.7843939837
6,0.2,2.4098754942,0.1300998096,-0.5329528217,2.4098355082,0.1300861681,-0.7843939837
6,0.3,2.4098754942,0.1300998096,-0.5329528217,2.4098355082,0.1300861681,-0.7843939837
6,0.4,2.4106059843,0.1265318954,-0.5307189987,2.4105767404,0.1265229613,-0.7821600997
6,0.5,2.4056814547,0.117403879,-0.5314061754,2.4056597792,0.1173983629,-0.7828473375
6,0.6,2.4078477509,0.1063590032,-0.5325281316,2.4078316906,0.1063562184,-0.7839692327
6,0.7,2.4162560188,0.0914135537,-0.5298552499,2.4162441089,0.0914127145,-0.781296351
6,0.8,2.4179013635,0.0661484002,-0.5330491647,2.4178923833,0.0661489571,-0.7844902657
6,0.9,2.421330823,0.060719885,-0.5340811597,2.4213225752,0.060720831,-0.7855222607
6,1,2.4260828571,0.047164246,-0.5256119388,2.4260777831,0.0471666301,-0.7770530399
6,1.1,2.3636919356,0.0259213467,-0.56110701,2.3099973434,-0.0077410972,-0.7974486706
6,1.2,2.1786931628,0.0494307971,-0.5358109813,2.0008759298,-0.0690161184,-0.7131757456
6,1.3,2.0498201607,-0.0356354226,-0.4092948219,1.8873851665,-0.2605652718,-0.4837633109
6,1.4,2.001103773,-0.0879897275,-0.3835017352,1.8392103857,-0.3213234749,-0.4383252372
6,1.5,1.9560855604,-0.1394128894,-0.3750106946,1.8012249056,-0.379115454,-0.4314224183
6,1.6,1.924627101,-0.1866368819,-0.3790160417,1.7724319494,-0.4255668538,-0.4412150066
6,1.7,1.9072217787,-0.2169982892,-0.3894398059,1.7570758918,-0.4551553501,-0.4649571682
6,1.8,1.920279818,-0.2007683676,-0.3912202189,1.7709233477,-0.4281643935,-0.4592693529
6,1.9,1.9213470312,-0.1936246106,-0.397040932,1.7721553679,-0.4186092132,-0.4593749482
6,2,1.9194497001,-0.1979802694,-0.3992809763,1.7704136669,-0.4229196444,-0.4641580229
6,2.1,1.9057788346,-0.2126565892,-0.4049837154,1.7605484599,-0.4425059843,-0.4762841768
6,2.2,1.9067779859,-0.2131826322,-0.4039170992,1.7599835268,-0.4424340259,-0.4739644421
6,2.3,1.8949452757,-0.229033933,-0.4052333399,1.7514654925,-0.4610390377,-0.4838149967
6,2.4,1.9159077243,-0.2029011198,-0.3997271608,1.7663885259,-0.4284344297,-0.4681793399
6,2.5,1.9227565758,-0.194809664,-0.398558851,1.7711401991,-0.416484461,-0.4659744318
6,2.6,1.9051218758,-0.2176307584,-0.4035348299,1.7587718524,-0.4461839694,-0.4789441129
6,2.7,1.9142225672,-0.2081967803,-0.3986043214,1.766658427,-0.4322132983,-0.470958302
6,2.8,1.9142225672,-0.2081967803,-0.3986043214,1.766658427,-0.4322132983,-0.470958302
6,2.9,1.9142225672,-0.2081967803,-0.3986043214,1.766658427,-0.4322132983,-0.470958302
6,3,1.9142225672,-0.2081967803,-0.3986043214,1.766658427,-0.4322132983,-0.470958302
7,0.1,2.3629242022,0.2457475253,-0.5164588748,2.3548356839,0.2091530132,-0.7904183178
7,0.2,2.3629242022,0.2457475253,-0.5164588748,2.3548356839,0.2091530132,-0.7904183178
7,0.3,2.3629242022,0.2457475253,-0.5164588748,2.3548356839,0.2091530132,-0.7904183178
7,0.4,2.3656383206,0.2457403637,-0.5145509258,2.3530895973,0.2092298195,-0.7883852913
7,0.5,2.3621280945,0.2457588902,-0.5069596043,2.3566652907,0.2134516192,-0.7814997454
7,0.6,2.3651142242,0.2399289756,-0.5003518272,2.3612978838,0.2126938084,-0.7755184392
7,0.7,2.3658439857,0.2277634205,-0.5056719288,2.3623296141,0.2088746746,-0.7814975689
7,0.8,2.3717322072,0.2192722922,-0.5038442221,2.3663391424,0.2084323371,-0.780095362
7,0.9,2.3767535088,0.2087856926,-0.4976014427,2.3673970442,0.2035904678,-0.773927153
7,1,2.3759760065,0.1836130365,-0.4994768061,2.3452963528,0.1700709927,-0.7696783535
7,1.1,2.3795584474,0.1543282749,-0.4837019779,2.2939868553,0.1357640415,-0.7177119785
7,1.2,2.3073474139,0.1239551535,-0.5402128211,2.1567543874,0.0106316786,-0.7224494505
7,1.3,2.2175212096,0.0775220843,-0.5290067416,2.0392901125,-0.0964452299,-0.674657332
7,1.4,2.1476817018,0.0337578507,-0.4813306733,1.9695636458,-0.1671940593,-0.5863959065
7,1.5,2.0937301378,-0.0143513333,-0.4367734073,1.9131651877,-0.2225010902,-0.5143715294
7,1.6,2.039899769,-0.0654046393,-0.4008016824,1.8586123535,-0.2806637052,-0.4667764193
7,1.7,1.9926018926,-0.1093589604,-0.3850715587,1.8118920461,-0.3284929783,-0.4401064784
7,1.8,1.9511671047,-0.1502226151,-0.385470607,1.780389876,-0.3770960298,-0.4480860991
7,1.9,1.9187216177,-0.183366411,-0.3996552412,1.7562807857,-0.4110747256,-0.4710171323
7,2,1.8961381454,-0.2033412101,-0.4131539986,1.73618485,-0.4322453621,-0.4890345146
